 TS_z-matrix from HR            1  point            3
                c1                                           
                c2  c1 rcc1                                  
                h3  c2 rcc2 c1 accc1                         
                h4  c2 rcc3 c1 ahcc1 h3 b1                   
                h41 c2 rcc4 c1 ahcc5 h3 b5                   
                h5  c1 rch1 c2 ahcc2 h3 b2                   
                h6  c1 rch2 c2 ahcc3 h5 b3                   
                h7  c1 rch3 c2 ahcc4 h5 b4                   
 RCC2                             1.0941415896699791     
 RCC3                             1.0941847848002511     
 RCC4                             1.0940969897562991     
 RCH1                             1.0941410853186839     
 RCH2                             1.0941852115863959     
 RCH3                             1.0940970266487631     
 ACCC1                            101.82229380669790     
 AHCC1                            101.73163695928660     
 AHCC2                            101.82331775720490     
 AHCC3                            101.72648574651500     
 AHCC4                            101.88717517045960     
 AHCC5                            101.88301245504940     
 B1                               119.84818820209240     
 B5                              -120.15508117127560     
 B3                               119.84674558574110     
 B4                              -120.15668713315650     
 RCC1                             2.3999999999999999     
 B2                               100.06955072564161     
